Date,Description,Amount,Balance
15-01-2024,STARBUCKS STORE #5678,-5.25,2987.65
15-01-2024,DOORDASH DELIVERY,-18.75,2968.90
16-01-2024,APPLE.COM,-129.99,2838.91
16-01-2024,MONTHLY SALARY DEPOSIT,4200,7038.91
17-01-2024,TRADER JOES,-42.15,6996.76
17-01-2024,ATM WITHDRAWAL FEE,-3.00,6993.76
18-01-2024,HULU PLUS SUBSCRIPTION,-7.99,6985.77
18-01-2024,BEST BUY STORE #045,-89.50,6896.27
19-01-2024,CHEVRON GAS STATION,-41.85,6854.42
19-01-2024,AT&T MOBILE,-72.50,6781.92
20-01-2024,TACO BELL #2345,-9.25,6772.67
20-01-2024,SAVE-A-LOT GROCERY,-65.40,6707.27
22-01-2024,BURGER KING DRIVE THRU,-7.89,6699.38
22-01-2024,PUBLIC PARKING,-4.00,6695.38
23-01-2024,SAMS CLUB MEMBERSHIP,-112.45,6582.93
23-01-2024,YOUTUBE PREMIUM,-11.99,6570.94
24-01-2024,GRUBHUB ORDER,-29.80,6541.14
24-01-2024,WALGREENS PHARMACY,-21.75,6519.39
25-01-2024,LOWES HOME IMPROVEMENT,-98.75,6420.64
25-01-2024,WATER UTILITY BILL,-89.25,6331.39
26-01-2024,SPROUTS FARMERS MARKET,-76.30,6255.09
26-01-2024,TAXI FARE,-12.50,6242.59
29-01-2024,CONTACT WORK PAYMENT,850,7092.59
29-01-2024,CABLE TV BILL,-64.99,7027.60
30-01-2024,ITALIAN BISTRO,-45.20,6982.40
30-01-2024,EXXON MOBIL GAS,-39.85,6942.55
