Date,Description,Amount,Balance
01-03-2024,LOCAL CAFE,-4.95,2845.67
01-03-2024,INSTACART GROCERY,-56.30,2789.37
02-03-2024,WALMART ONLINE ORDER,-112.45,2676.92
02-03-2024,QUARTERLY BONUS,2800,5476.92
04-03-2024,ALBERTSONS MARKET,-73.85,5403.07
04-03-2024,ATM DISPENSER,-200,5203.07
05-03-2024,DISNEY+ SUBSCRIPTION,-7.99,5195.08
05-03-2024,IKEA FURNITURE,-245.75,4949.33
06-03-2024,SHELL SERVICE STATION,-48.90,4900.43
06-03-2024,SPRINT MOBILE,-78.25,4822.18
07-03-2024,PANERA BREAD,-13.40,4808.78
07-03-2024,WINCO FOODS,-59.80,4748.98
08-03-2024,WENDYS RESTAURANT,-6.89,4742.09
08-03-2024,STREET PARKING,-2.75,4739.34
09-03-2024,MACYS DEPARTMENT STORE,-167.30,4572.04
09-03-2024,PANDORA MUSIC,-9.99,4562.05
11-03-2024,UBER EATS DINNER,-24.75,4537.30
11-03-2024,DUANE READE DRUGS,-31.40,4505.90
12-03-2024,TRUE VALUE HARDWARE,-89.60,4416.30
12-03-2024,SEWAGE BILL,-97.50,4318.80
13-03-2024,FRESH THYME MARKET,-84.25,4234.55
13-03-2024,CAR SERVICE,-14.80,4219.75
15-03-2024,PROJECT COMPLETION PAY,675,4894.75
15-03-2024,PHONE INTERNET BUNDLE,-78.45,4816.30
16-03-2024,THAI RESTAURANT,-52.90,4763.40
16-03-2024,76 GAS STATION,-37.25,4726.15
