Date,Description,Amount,Balance
01-02-2024,COFFEE SHOP #789,-6.75,3154.80
02-02-2024,LYFT RIDE TO AIRPORT,-28.40,3126.40
03-02-2024,EBAY PURCHASE,-47.25,3079.15
03-02-2024,FREELANCE INCOME DEPOSIT,1200,4279.15
04-02-2024,KROGER SUPERMARKET,-88.60,4190.55
04-02-2024,CASH WITHDRAWAL,-150,4040.55
05-02-2024,AMAZON PRIME RENEWAL,-14.99,4025.56
05-02-2024,HOME GOODS STORE,-135.80,3889.76
06-02-2024,MOBIL GAS STATION,-53.20,3836.56
06-02-2024,TMOBILE SERVICE,-89.10,3747.46
07-02-2024,PIZZA HUT DELIVERY,-22.35,3725.11
07-02-2024,ALDI FOODS,-41.90,3683.21
09-02-2024,SUBWAY SANDWICHES,-8.25,3674.96
09-02-2024,MULTI SPACE METER,-3.50,3671.46
10-02-2024,BJ'S WHOLESALE,-189.75,3481.71
10-02-2024,APPLE MUSIC,-9.99,3471.72
11-02-2024,POSTMATES LUNCH,-19.80,3451.92
11-02-2024,RITE AID PHARMACY,-27.45,3424.47
12-02-2024,ACME HARDWARE,-76.40,3348.07
12-02-2024,NATURAL GAS BILL,-112.75,3235.32
13-02-2024,PUROLATOR FRESH,-92.15,3143.17
13-02-2024,RIDESHARE TRIP,-17.25,3125.92
16-02-2024,CONSULTING FEE DEPOSIT,950,4075.92
16-02-2024,STREAMING SERVICE,-54.95,4020.97
17-02-2024,SUSHI RESTAURANT,-67.85,3953.12
17-02-2024,BP GAS STATION,-44.60,3908.52
